date,retweet_num_AAPL,retweet_num_AMZN,retweet_num_GOOG,retweet_num_GOOGL,retweet_num_MSFT,retweet_num_TSLA,lag_close_value_AAPL,lag_close_value_AMZN,lag_close_value_GOOG,lag_close_value_GOOGL,lag_close_value_MSFT,lag_close_value_TSLA
2019-01-01,163,208,8,45,74,744,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,9,260,16,50,40,1247,0.0034954047730946323,0.09282724223791045,0.03648738209216453,0.03512596055494951,-0.017851508225624275,-0.16592932810649058
2019-01-03,5215,405,55,153,94,1501,-0.30545953933769515,-0.09704893328694364,-0.10614835083257608,-0.10555857076235324,-0.1475724679984977,-0.07140521350614401
2019-01-04,1396,337,16,57,89,963,0.11787281651492745,0.1876279376880907,0.19473002259148373,0.19008493057513742,0.1797051828046223,0.12678815062105284
2019-01-05,294,137,39,42,11,794,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,211,142,12,25,15,804,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,233,393,29,125,74,1285,-0.006408242084007286,0.1351940352506914,-0.008266672505255793,-0.00776963119270951,0.005157102376291407,0.12634918414458063
2019-01-08,558,409,47,132,80,1055,0.05476134144515568,0.06762199804575415,0.02811381295968489,0.03415023942842238,0.02935581352658268,0.0028532820970695975
2019-01-09,1448,1239,30,75,37,1015,0.04971242343957412,0.007094439396008574,-0.005772417870049073,-0.01344326885436263,0.05831492687037406,0.023265223253026084
2019-01-10,473,464,79,273,49,1116,0.00951526854898115,-0.00799373453071359,-0.01542874652920683,-0.010190865099276037,-0.026578912247041328,0.04711573514134956
2019-01-11,348,424,54,104,59,1157,-0.029322562263186643,-0.03911933835967928,-0.04682072272373407,-0.051893908803402264,-0.03173601462333273,0.016753887185355257
2019-01-12,294,282,49,205,12,1655,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-13,127,172,27,62,44,624,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,224,181,22,36,38,1161,-0.04446931627993134,-0.05832928165379967,-0.044540261342974244,-0.04683461407326601,-0.029752513709374543,-0.09408514812387436
2019-01-15,349,302,70,51,140,913,0.059616070296676586,0.14326271104263036,0.11566215065543564,0.12648236825341866,0.11742325410633185,0.07338056265026918
2019-01-16,347,400,223,104,125,826,0.03631337180937646,0.02303194761661827,0.013611503866412702,0.010841345850293027,0.014677906763291058,0.011852094864749356
2019-01-17,258,28,23,82,131,894,0.01786540217359724,0.023581516865604894,0.031819562703421025,0.0347284445404383,0.029355813526583244,0.009218296005916074
2019-01-18,194,329,136,76,124,2285,0.01864215878983988,0.007444165281726971,0.029788526786180818,0.02956073635179922,0.0630753290638736,-0.32959066275120813
2019-01-19,206,181,16,108,40,1134,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-20,87,68,45,34,32,665,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-21,102,57,20,18,41,826,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-22,234,140,58,59,74,1033,-0.068354582229414,-0.1599496318754949,-0.09884374797232848,-0.1036071285092998,-0.08053013710670658,-0.02443580052361879
2019-01-23,246,294,29,83,102,1504,0.012039727551771382,0.01960963002065627,0.017994265582561432,0.020887659671564467,0.04086011882754052,-0.08289150297383353
2019-01-24,210,250,66,49,160,1248,-0.023691076795421998,0.037245806829043306,-0.005950578915420808,-0.0014816505995403429,-0.02023170932237433,0.028679143129517
2019-01-25,252,122,22,33,80,767,0.09825971195478317,0.039069377518861796,0.060895445308114096,0.06327732194621027,0.038479917730791034,0.04045807691485439
2019-01-26,797,744,46,62,674,1676,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-27,186,150,25,19,115,380,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,423,203,26,39,177,1122,-0.02835161649288169,-0.08163601389491097,-0.0745069491745276,-0.078238379219615,-0.0829103382034572,-0.004828631241194352
2019-01-29,104,230,23,16,108,1092,-0.031458642957855554,-0.10993883021771876,-0.03370806978436304,-0.03541506311095706,-0.0848938391174154,0.007901396576499433
2019-01-30,3042,328,35,38,317,1444,0.20525793584230376,0.19122511822691132,0.1013380026075352,0.10093292986622832,0.13646486288033116,0.08274518081500919
2019-01-31,247,64,42,213,897,2843,0.023108509333239467,0.12065543057295643,0.09731156298212994,0.10082451640772548,-0.07735653564437336,-0.01280318889710575
2019-02-01,688,794,63,432,239,1265,0.0015535132324869326,-0.23106888877843643,-0.02002530149980083,-0.02627219477721086,-0.06545553016062422,0.03797060021484504
2019-02-02,120,181,57,471,51,837,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-03,100,106,20,121,41,937,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-04,251,168,87,359,81,1527,0.09185146987077533,0.017686137649203387,0.07856902100900641,0.08239422846222766,0.11742325410633128,0.004974953400018285
2019-02-05,419,240,303,1109,321,1087,0.05689742213982514,0.06370007204162302,0.04699888376910662,0.03776402137852006,0.058711627053165925,0.06189427318258007
2019-02-06,293,158,69,95,101,1006,0.0011651349243650615,-0.04633867985772957,-0.10960467511279098,-0.10472740091382989,-0.04720732175220752,-0.03021552579716954
2019-02-07,286,318,69,144,262,942,-0.06408242084007618,-0.06467430843755397,-0.05886440939087469,-0.0613620175126586,-0.030149213892166408,-0.07103940810908417
2019-02-08,247,417,61,41,173,785,-0.010292025165224341,-0.06532379936817385,-0.013005756312148804,-0.012756650283844697,0.01586800731166665,-0.01251054457945747
2019-02-09,59,68,43,34,51,580,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-10,135,57,4,28,43,587,0.0,0.0,0.0,0.0,0.0,0.0
